DG	node
0.00022660321776569228	580
0.00022660321776569228	752
0.00022660321776569228	148345
0.00022660321776569228	246744
0.00022660321776569228	1021
0.00022660321776569228	1267
0.1907999093587129	1394
0.00045320643553138455	1545
0.00022660321776569228	83468
0.00022660321776569228	83483
0.00022660321776569228	1607
0.009064128710627692	83878
0.0009064128710627691	2063
0.00022660321776569228	165904
0.0006798096532970768	51226
0.09811919329254476	51326
0.00022660321776569228	84310
0.00022660321776569228	84336
0.00022660321776569228	51741
0.00045320643553138455	51761
0.00022660321776569228	2869
0.00022660321776569228	3093
0.0009064128710627691	3211
0.0011330160888284614	3212
0.005211874008610923	3213
0.00045320643553138455	3215
0.0009064128710627691	3216
0.0006798096532970768	3217
0.0018128257421255382	3231
0.007931112621799229	3232
0.0013596193065941536	3233
0.00022660321776569228	3234
0.00022660321776569228	3235
0.00022660321776569228	3292
0.00022660321776569228	3612
0.00022660321776569228	3983
0.00022660321776569228	151531
0.1470654883299343	4137
0.00022660321776569228	53615
0.013369589848175845	201176
0.00045320643553138455	4779
0.008837525492861998	4905
0.0009064128710627691	54102
0.00022660321776569228	5158
0.00022660321776569228	152687
0.00022660321776569228	5310
0.22003172445048721	284058
0.00022660321776569228	284067
0.00022660321776569228	153090
0.013596193065941536	54796
0.00022660321776569228	54872
0.0006798096532970768	54875
0.00022660321776569228	5806
0.00022660321776569228	55163
0.00022660321776569228	153478
0.00022660321776569228	6094
0.002492635395422615	284654
0.002719238613188307	55289
0.00022660321776569228	6155
0.00022660321776569228	22844
0.0009064128710627691	22871
0.0006798096532970768	399726
0.00022660321776569228	22986
0.00022660321776569228	55777
0.024699750736460458	100506084
0.0009064128710627691	55803
0.00045320643553138455	55815
0.0011330160888284614	6668
0.00022660321776569228	55839
0.00022660321776569228	6747
0.00045320643553138455	6836
0.00022660321776569228	137970
0.00045320643553138455	6919
0.017221844550192614	23331
0.00022660321776569228	23332
0.004532064355313846	7015
0.00022660321776569228	23415
0.00022660321776569228	7049
0.00022660321776569228	7068
0.003399048266485384	171024
0.00045320643553138455	7266
0.007931112621799229	7473
0.00022660321776569228	56942
0.00045320643553138455	7881
0.011103557670518922	8028
0.00022660321776569228	8153
0.00022660321776569228	8516
0.00045320643553138455	57719
0.00022660321776569228	8603
0.04146838885112169	8631
0.00022660321776569228	8639
0.00022660321776569228	8678
0.006571493315205076	9055
0.004078857919782461	9353
0.0018128257421255382	91433
0.004758667573079538	25976
0.0013596193065941536	26011
0.00022660321776569228	26024
0.00022660321776569228	26047
0.00022660321776569228	26059
0.00022660321776569228	26137
0.01790165420348969	9842
0.10151824155903014	9884
0.0009064128710627691	26276
0.00022660321776569228	10106
0.00022660321776569228	10197
0.00022660321776569228	10298
0.00022660321776569228	10466
0.0020394289598912306	92421
0.0015862225243598459	10718
0.0006798096532970768	387640
0.00022660321776569228	10815
0.00022660321776569228	100526740
0.002492635395422615	10951
0.00022660321776569228	10975
0.0011330160888284614	11093
0.0011330160888284614	11094
0.00022660321776569228	11182
0.0015862225243598459	11200
0.00022660321776569228	93343
0.002266032177656923	126549
0.05030591434398369	389170
0.00022660321776569228	389400
0.006118286879673691	29086
0.00022660321776569228	160518
0.0006798096532970768	79016
0.0006798096532970768	29916
0.0013596193065941536	79170
0.002492635395422615	79575
0.00045320643553138455	79629
0.00022660321776569228	79736
0.002492635395422615	79915
0.00022660321776569228	80152
0.00022660321776569228	80235
0.00022660321776569228	80279
0.022433718558803536	64215
0.0031724450487196918	162540
0.10061182868796738	474170
0.00022660321776569228	64747
0.0006798096532970768	64778
0.00022660321776569228	146754
0.00022660321776569228	130507
0.0018128257421255382	64981
