DG	node	norm
0.22003172445048721	284058	2.0
0.1907999093587129	1394	1.8670103092783505
0.1470654883299343	4137	1.6680412371134021
0.10151824155903014	9884	1.4608247422680412
0.10061182868796738	474170	1.4567010309278352
0.09811919329254476	51326	1.445360824742268
0.05030591434398369	389170	1.2278350515463918
0.04146838885112169	8631	1.1876288659793814
0.024699750736460458	100506084	1.111340206185567
0.022433718558803536	64215	1.1010309278350516
0.01790165420348969	9842	1.0804123711340206
0.017221844550192614	23331	1.077319587628866
0.013596193065941536	54796	1.0608247422680412
0.013369589848175845	201176	1.0597938144329897
0.011103557670518922	8028	1.0494845360824743
0.009064128710627692	83878	1.0402061855670104
0.008837525492861998	4905	1.0391752577319588
0.007931112621799229	7473	1.0350515463917527
0.007931112621799229	3232	1.0350515463917527
0.006571493315205076	9055	1.0288659793814432
0.006118286879673691	29086	1.02680412371134
0.005211874008610923	3213	1.022680412371134
0.004758667573079538	25976	1.0206185567010309
0.004532064355313846	7015	1.0195876288659793
0.004078857919782461	9353	1.0175257731958762
0.003399048266485384	171024	1.0144329896907216
0.0031724450487196918	162540	1.01340206185567
0.002719238613188307	55289	1.011340206185567
0.002492635395422615	284654	1.0103092783505154
0.002492635395422615	79575	1.0103092783505154
0.002492635395422615	79915	1.0103092783505154
0.002492635395422615	10951	1.0103092783505154
0.002266032177656923	126549	1.0092783505154639
0.0020394289598912306	92421	1.0082474226804123
0.0018128257421255382	91433	1.0072164948453608
0.0018128257421255382	64981	1.0072164948453608
0.0018128257421255382	3231	1.0072164948453608
0.0015862225243598459	11200	1.0061855670103093
0.0015862225243598459	10718	1.0061855670103093
0.0013596193065941536	26011	1.0051546391752577
0.0013596193065941536	79170	1.0051546391752577
0.0013596193065941536	3233	1.0051546391752577
0.0011330160888284614	11094	1.0041237113402062
0.0011330160888284614	6668	1.0041237113402062
0.0011330160888284614	3212	1.0041237113402062
0.0011330160888284614	11093	1.0041237113402062
0.0009064128710627691	2063	1.0030927835051546
0.0009064128710627691	26276	1.0030927835051546
0.0009064128710627691	22871	1.0030927835051546
0.0009064128710627691	3211	1.0030927835051546
0.0009064128710627691	55803	1.0030927835051546
0.0009064128710627691	54102	1.0030927835051546
0.0009064128710627691	3216	1.0030927835051546
0.0006798096532970768	3217	1.002061855670103
0.0006798096532970768	79016	1.002061855670103
0.0006798096532970768	51226	1.002061855670103
0.0006798096532970768	29916	1.002061855670103
0.0006798096532970768	399726	1.002061855670103
0.0006798096532970768	54875	1.002061855670103
0.0006798096532970768	64778	1.002061855670103
0.0006798096532970768	387640	1.002061855670103
0.00045320643553138455	6836	1.0010309278350515
0.00045320643553138455	7266	1.0010309278350515
0.00045320643553138455	1545	1.0010309278350515
0.00045320643553138455	7881	1.0010309278350515
0.00045320643553138455	57719	1.0010309278350515
0.00045320643553138455	4779	1.0010309278350515
0.00045320643553138455	3215	1.0010309278350515
0.00045320643553138455	6919	1.0010309278350515
0.00045320643553138455	79629	1.0010309278350515
0.00045320643553138455	55815	1.0010309278350515
0.00045320643553138455	51761	1.0010309278350515
0.00022660321776569228	100526740	1.0
0.00022660321776569228	130507	1.0
0.00022660321776569228	146754	1.0
0.00022660321776569228	389400	1.0
0.00022660321776569228	10975	1.0
0.00022660321776569228	26024	1.0
0.00022660321776569228	11182	1.0
0.00022660321776569228	26047	1.0
0.00022660321776569228	26059	1.0
0.00022660321776569228	64747	1.0
0.00022660321776569228	10298	1.0
0.00022660321776569228	26137	1.0
0.00022660321776569228	10466	1.0
0.00022660321776569228	10815	1.0
0.00022660321776569228	93343	1.0
0.00022660321776569228	80279	1.0
0.00022660321776569228	79736	1.0
0.00022660321776569228	80235	1.0
0.00022660321776569228	10106	1.0
0.00022660321776569228	80152	1.0
0.00022660321776569228	10197	1.0
0.00022660321776569228	160518	1.0
0.00022660321776569228	580	1.0
0.00022660321776569228	8678	1.0
0.00022660321776569228	8639	1.0
0.00022660321776569228	5158	1.0
0.00022660321776569228	53615	1.0
0.00022660321776569228	151531	1.0
0.00022660321776569228	3983	1.0
0.00022660321776569228	3612	1.0
0.00022660321776569228	3292	1.0
0.00022660321776569228	3235	1.0
0.00022660321776569228	3234	1.0
0.00022660321776569228	3093	1.0
0.00022660321776569228	2869	1.0
0.00022660321776569228	51741	1.0
0.00022660321776569228	84336	1.0
0.00022660321776569228	84310	1.0
0.00022660321776569228	165904	1.0
0.00022660321776569228	1607	1.0
0.00022660321776569228	83483	1.0
0.00022660321776569228	83468	1.0
0.00022660321776569228	1267	1.0
0.00022660321776569228	1021	1.0
0.00022660321776569228	246744	1.0
0.00022660321776569228	148345	1.0
0.00022660321776569228	152687	1.0
0.00022660321776569228	5310	1.0
0.00022660321776569228	284067	1.0
0.00022660321776569228	6747	1.0
0.00022660321776569228	8603	1.0
0.00022660321776569228	8516	1.0
0.00022660321776569228	8153	1.0
0.00022660321776569228	56942	1.0
0.00022660321776569228	7068	1.0
0.00022660321776569228	7049	1.0
0.00022660321776569228	23415	1.0
0.00022660321776569228	23332	1.0
0.00022660321776569228	752	1.0
0.00022660321776569228	55839	1.0
0.00022660321776569228	153090	1.0
0.00022660321776569228	55777	1.0
0.00022660321776569228	22986	1.0
0.00022660321776569228	22844	1.0
0.00022660321776569228	6155	1.0
0.00022660321776569228	6094	1.0
0.00022660321776569228	153478	1.0
0.00022660321776569228	55163	1.0
0.00022660321776569228	5806	1.0
0.00022660321776569228	54872	1.0
0.00022660321776569228	137970	1.0
