gene	norm1	norm2	norm3	norm4	norm5	norm6
100462799	0.0	0.0	0.0	0.0	0.0	0.05798346369741207
402360	0.06340642377742223	0.0	0.0	0.0	0.0	0.0
404266	0.0	0.0	0.0	0.0	0.0	0.0
441067	0.0	0.0	0.0	0.0	0.0	0.0
400860	0.0	0.1461858411609449	0.0	0.0	0.0	0.0
100128252	0.0	0.0	0.0	0.0	0.0	0.0
143188	0.0	0.0	0.0	0.0	0.0	0.0
340107	0.0	0.0	0.0	0.0	0.0	0.0
28982	0.0	0.0	0.0	0.0	0.0	0.0
26073	0.0	0.0	0.0	0.0	0.0	0.0
388882	0.0	0.0	0.0	0.0	0.0	0.0
10092	0.0	0.0	0.0	0.0	0.0	0.028956763944213808
90378	0.0	0.20981568819155721	0.0	0.0	0.0	0.0
81470	0.0	0.0	0.0	0.0	0.0	0.0
100271020	0.0	0.0	0.0	0.0	0.0	0.028956763944213808
10881	0.0	0.0	0.0	0.0	0.0	0.0
79366	0.0	0.0	0.0	0.0	0.0	0.05798346369741207
100144597	0.0	0.0	0.0	0.0	0.0	0.0
8642	0.0	0.0	0.0	0.0	0.0	0.0
26797	0.0	0.0	0.0	0.0	0.0	0.05798346369741207
94101	0.0	0.0	0.0	0.0	0.0	0.028956763944213808
10529	0.0	0.0	0.0	0.0	0.0	0.028956763944213808
652963	0.0	0.0	0.0	0.0	0.0	0.0
7818	0.0	0.0	0.0	0.0	0.0	0.028956763944213808
5244	0.0	0.0	0.0	0.0	0.0	0.0
353497	0.0	0.0	0.0	0.0	0.0	0.0
100130624	0.0	0.0	0.0	0.0	0.0	0.0
642446	0.0	0.20981568819155721	0.0	0.0	0.0	0.0
197135	0.0	0.0	0.0	0.0	0.0	0.0
64170	0.0	0.0	0.0	0.0	0.0	0.0
9413	0.0	0.0	0.0	0.0	0.0	0.0
258010	0.0	0.0	0.0	0.0	0.0	0.028956763944213808
26810	0.0	0.0	0.0	0.0	0.0	0.0
100128881	0.0	0.0	0.0	0.0	0.0	0.0
26069	0.0	0.0	0.0	0.0	0.0	0.0
84268	0.06340642377742223	0.0	0.0	0.0	0.0	0.0
643246	0.0	0.0	0.0	0.0	0.0	0.0
440354	0.0	0.0	0.0	0.0	0.0	0.0
3687	0.0	0.0	0.0	0.0	0.0	0.0
100131594	0.0	0.0	0.0	0.0	0.0	0.0
54094	0.0	0.0	0.0	0.0	0.0	0.0
100169834	0.0	0.0	0.0	0.0	0.0	0.05798346369741207
7045	0.0	0.0	0.0	0.0	0.0	0.028956763944213808
10113	0.0	0.0	0.0	0.0	0.0	0.028956763944213808
441253	0.0	0.1461858411609449	0.0	0.0	0.0	0.0
643327	0.0	0.11152044233595451	0.0	0.0	0.0	0.0
730051	0.0	0.0	0.0	0.0	0.0	0.0
3857	0.0	0.0	0.0	0.0	0.0	0.0
4323	0.0	0.0	0.0	0.0	0.0	0.0
474344	0.0	0.0	0.0	0.0	0.0	0.028956763944213808
84630	0.0	0.0	0.0	0.0	0.0	0.0
64223	0.0	0.0	0.0	0.0	0.0	0.0
5916	0.0	0.0	0.0	0.0	0.0	0.0
387590	0.0	0.0	0.0	0.0	0.0	0.028956763944213808
728036	0.0	0.20981568819155721	0.0	0.0	0.0	0.0
386653	0.0	0.0	0.0	0.0	0.0	0.0
84991	0.0	0.0	0.0	0.0	0.0	0.0
60467	0.0	0.0	0.0	0.0	0.0	0.0
5071	0.0	0.0	0.0	0.0	0.0	0.0
